!{"Time":7,"AccX":0,"AccY":0,"AccZ":0,"GyroX":0,"GyroY":0,"GyroZ":0}
{"Time":5114,"AccX":0.40039064,"AccY":1.15136719,"AccZ":0.59082032,"GyroX":0.792682944,"GyroY":-1.36585332,"GyroZ":0.85365856}
{"Time":5264,"AccX":0.53710936,"AccY":1.8300781,"AccZ":0.57128908,"GyroX":0.731707328,"GyroY":0.42682928,"GyroZ":0.85365856}
{"Time":5411,"AccX":0.52734376,"AccY":1.4882812,"AccZ":0.4736328,"GyroX":0.792682944,"GyroY":0.243902448,"GyroZ":0.85365856}
{"Time":5560,"AccX":0.50292968,"AccY":1.390625,"AccZ":0.64941408,"GyroX":0.85365856,"GyroY":0.731707328,"GyroZ":-1.36585332}
{"Time":5707,"AccX":0.4736328,"AccY":1,"AccZ":0.75195312,"GyroX":0.731707328,"GyroY":0.609756096,"GyroZ":0.85365856}
{"Time":5847,"AccX":0.53710936,"AccY":1.11230469,"AccZ":0.69335936,"GyroX":0.975609792,"GyroY":0.487804896,"GyroZ":0.85365856}
{"Time":5996,"AccX":0.55664064,"AccY":1.8300781,"AccZ":0.6201172,"GyroX":0.731707328,"GyroY":0.487804896,"GyroZ":0.792682944}
{"Time":6145,"AccX":0.58105468,"AccY":1.3417968,"AccZ":0.68359376,"GyroX":0.731707328,"GyroY":0.609756096,"GyroZ":0.792682944}
{"Time":6295,"AccX":0.56152344,"AccY":1.4394531,"AccZ":0.60058592,"GyroX":0.85365856,"GyroY":0,"GyroZ":0.85365856}
{"Time":6431,"AccX":0.52246092,"AccY":1.13183594,"AccZ":0.6201172,"GyroX":0.609756096,"GyroY":0.487804896,"GyroZ":0.670731712}
{"Time":6582,"AccX":0.59570312,"AccY":1.2441406,"AccZ":0.73242184,"GyroX":0.54878048,"GyroY":0.609756096,"GyroZ":0.914634176}
{"Time":6730,"AccX":0.44433592,"AccY":1.390625,"AccZ":0.68359376,"GyroX":0.609756096,"GyroY":0.487804896,"GyroZ":0.975609792}
{"Time":6879,"AccX":0.52246092,"AccY":1.3417968,"AccZ":0.71289064,"GyroX":0.487804896,"GyroY":0.85365856,"GyroZ":0.792682944}
{"Time":7027,"AccX":0.49804688,"AccY":1.9277344,"AccZ":0.74218752,"GyroX":0.609756096,"GyroY":0.487804896,"GyroZ":0.85365856}
{"Time":7177,"AccX":0.625,"AccY":1.11230469,"AccZ":0.58593752,"GyroX":0.54878048,"GyroY":0.609756096,"GyroZ":0.914634176}
{"Time":7321,"AccX":0.56152344,"AccY":1.4882812,"AccZ":0.64453124,"GyroX":0.609756096,"GyroY":0.365853664,"GyroZ":0.670731712}
{"Time":7471,"AccX":0.64941408,"AccY":1.390625,"AccZ":0.67382816,"GyroX":0.42682928,"GyroY":0.304878048,"GyroZ":0.85365856}
{"Time":7618,"AccX":0.43945312,"AccY":1.9765625,"AccZ":0.61523436,"GyroX":0.487804896,"GyroY":0.54878048,"GyroZ":0.914634176}
{"Time":7767,"AccX":0.51757812,"AccY":1.6835937,"AccZ":0.61035156,"GyroX":0.731707328,"GyroY":0.609756096,"GyroZ":0.85365856}
{"Time":7915,"AccX":0.67382816,"AccY":1.16113281,"AccZ":0.58593752,"GyroX":0.54878048,"GyroY":0.243902448,"GyroZ":0.85365856}
{"Time":8064,"AccX":0.47851564,"AccY":1.9765625,"AccZ":0.65917968,"GyroX":0.609756096,"GyroY":0.42682928,"GyroZ":0.85365856}
{"Time":8212,"AccX":0.47851564,"AccY":0.998535168,"AccZ":0.64453124,"GyroX":0.609756096,"GyroY":0.609756096,"GyroZ":0.914634176}
{"Time":8364,"AccX":0.6201172,"AccY":1.2929687,"AccZ":0.71777344,"GyroX":0.54878048,"GyroY":0.609756096,"GyroZ":0.975609792}
{"Time":8511,"AccX":0.51757812,"AccY":1.6835937,"AccZ":0.51757812,"GyroX":0.54878048,"GyroY":0.54878048,"GyroZ":0.975609792}
{"Time":8659,"AccX":0.48828124,"AccY":1.5859375,"AccZ":0.7861328,"GyroX":0.731707328,"GyroY":0,"GyroZ":0.914634176}
{"Time":8797,"AccX":0.60058592,"AccY":1.6347656,"AccZ":0.64941408,"GyroX":0.670731712,"GyroY":0.54878048,"GyroZ":0.85365856}
{"Time":8945,"AccX":0.38085936,"AccY":1.3417968,"AccZ":0.70800784,"GyroX":0.54878048,"GyroY":0.792682944,"GyroZ":0.792682944}
{"Time":9094,"AccX":0.6298828,"AccY":1.4394531,"AccZ":0.59082032,"GyroX":0.792682944,"GyroY":0.243902448,"GyroZ":0.85365856}
{"Time":9241,"AccX":0.67871096,"AccY":1.7324219,"AccZ":0.49316408,"GyroX":0.792682944,"GyroY":-1.280487776,"GyroZ":0.85365856}
{"Time":9391,"AccX":0.46875,"AccY":0.999511744,"AccZ":0.60058592,"GyroX":0.914634176,"GyroY":0.487804896,"GyroZ":0.914634176}
{"Time":9540,"AccX":0.56640624,"AccY":1.1171875,"AccZ":0.63476564,"GyroX":0.609756096,"GyroY":0.54878048,"GyroZ":0.975609792}
{"Time":9689,"AccX":0.24414062,"AccY":0.994140608,"AccZ":0.12402344,"GyroX":0.85365856,"GyroY":-1.890243904,"GyroZ":0.975609792}
{"Time":9841,"AccX":0.45410156,"AccY":1.10253906,"AccZ":0.78125,"GyroX":0.85365856,"GyroY":0.304878048,"GyroZ":0.792682944}
{"Time":9988,"AccX":0.70800784,"AccY":1.9765625,"AccZ":0.4736328,"GyroX":0.365853664,"GyroY":0.670731712,"GyroZ":-1.36585332}
{"Time":10136,"AccX":0.41503908,"AccY":1.6347656,"AccZ":0.73730472,"GyroX":0.792682944,"GyroY":0.914634176,"GyroZ":0.792682944}
{"Time":10287,"AccX":0.625,"AccY":0.996582016,"AccZ":0.70800784,"GyroX":0.487804896,"GyroY":0.42682928,"GyroZ":0.731707328}
{"Time":10434,"AccX":0.46875,"AccY":1.5371094,"AccZ":0.63964844,"GyroX":0.670731712,"GyroY":0.54878048,"GyroZ":0.85365856}
{"Time":10579,"AccX":0.52734376,"AccY":1.7324219,"AccZ":0.7763672,"GyroX":0.365853664,"GyroY":0.42682928,"GyroZ":0.731707328}
{"Time":10729,"AccX":0.47851564,"AccY":1.8300781,"AccZ":0.69335936,"GyroX":0.85365856,"GyroY":0.670731712,"GyroZ":0.914634176}
{"Time":10878,"AccX":0.6298828,"AccY":1.9765625,"AccZ":0.7666016,"GyroX":0.609756096,"GyroY":0.85365856,"GyroZ":0.975609792}
{"Time":11026,"AccX":0.56640624,"AccY":1.976562,"AccZ":0.52734376,"GyroX":0.792682944,"GyroY":0.42682928,"GyroZ":0.85365856}
{"Time":11174,"AccX":0.3857422,"AccY":1.10253906,"AccZ":0.66894532,"GyroX":0.487804896,"GyroY":-1.219512224,"GyroZ":0.792682944}
{"Time":11326,"AccX":0.85937504,"AccY":1.1953125,"AccZ":0.49316408,"GyroX":0.731707328,"GyroY":0.60975612,"GyroZ":0.670731712}
{"Time":11475,"AccX":0.625,"AccY":1.15136719,"AccZ":0.625,"GyroX":0.609756096,"GyroY":0.487804896,"GyroZ":0.792682944}
{"Time":11618,"AccX":0.43457032,"AccY":1.1464843,"AccZ":0.61035156,"GyroX":0.54878048,"GyroY":0.85365856,"GyroZ":0.85365856}
{"Time":11765,"AccX":0.43945312,"AccY":1.8789062,"AccZ":0.66894532,"GyroX":0.609756096,"GyroY":0.609756096,"GyroZ":0.85365856}
{"Time":11915,"AccX":0.44433592,"AccY":1.78125,"AccZ":0.63964844,"GyroX":0.609756096,"GyroY":0.609756096,"GyroZ":0.975609792}
{"Time":12064,"AccX":0.546875,"AccY":1.6835937,"AccZ":0.60058592,"GyroX":0.54878048,"GyroY":0.792682944,"GyroZ":0.792682944}
{"Time":12212,"AccX":0.45898436,"AccY":1.1953125,"AccZ":0.71777344,"GyroX":0.792682944,"GyroY":0.731707328,"GyroZ":0.914634176}
{"Time":12362,"AccX":0.52734376,"AccY":1.1953125,"AccZ":0.61523436,"GyroX":0.792682944,"GyroY":0.670731712,"GyroZ":0.914634176}
{"Time":12514,"AccX":0.65429688,"AccY":1.3417968,"AccZ":0.70312496,"GyroX":0.54878048,"GyroY":0.54878048,"GyroZ":0.914634176}
{"Time":12662,"AccX":0.41503908,"AccY":1.8300781,"AccZ":0.65917968,"GyroX":0.670731712,"GyroY":0.54878048,"GyroZ":0.975609792}
{"Time":12812,"AccX":0.58593752,"AccY":1.390625,"AccZ":0.66406248,"GyroX":0.609756096,"GyroY":0.609756096,"GyroZ":0.792682944}
{"Time":12962,"AccX":0.50292968,"AccY":1.78125,"AccZ":0.625,"GyroX":0.42682928,"GyroY":0.609756096,"GyroZ":0.914634176}
{"Time":13105,"AccX":0.53222656,"AccY":1.9765625,"AccZ":0.71777344,"GyroX":0.609756096,"GyroY":0.792682944,"GyroZ":0.85365856}
{"Time":13254,"AccX":0.57128908,"AccY":1.6835937,"AccZ":0.70312496,"GyroX":0.487804896,"GyroY":0.609756096,"GyroZ":0.85365856}
{"Time":13404,"AccX":0.52246092,"AccY":1.9277344,"AccZ":0.63476564,"GyroX":0.54878048,"GyroY":0.54878048,"GyroZ":0.914634176}
{"Time":13553,"AccX":0.52246092,"AccY":1.4882812,"AccZ":0.65429688,"GyroX":0.42682928,"GyroY":0.487804896,"GyroZ":-1.97561}
{"Time":13700,"AccX":0.49316408,"AccY":1.8300781,"AccZ":0.69824216,"GyroX":0.731707328,"GyroY":0.609756096,"GyroZ":0.85365856}
{"Time":13850,"AccX":0.61035156,"AccY":1.9277344,"AccZ":0.70800784,"GyroX":0.54878048,"GyroY":0.54878048,"GyroZ":0.914634176}
{"Time":13999,"AccX":0.44921876,"AccY":1.4394531,"AccZ":0.5517578,"GyroX":0.792682944,"GyroY":0.42682928,"GyroZ":0.914634176}
{"Time":14147,"AccX":0.55664064,"AccY":1.3417968,"AccZ":0.73242184,"GyroX":0.731707328,"GyroY":0.731707328,"GyroZ":0.914634176}
{"Time":14299,"AccX":0.5517578,"AccY":1.6347656,"AccZ":0.80566408,"GyroX":0.670731712,"GyroY":0.670731712,"GyroZ":0.914634176}
{"Time":14448,"AccX":0.47851564,"AccY":1.4882812,"AccZ":0.64941408,"GyroX":0.609756096,"GyroY":0.85365856,"GyroZ":0.85365856}
{"Time":14597,"AccX":0.57617188,"AccY":1.5859375,"AccZ":0.59082032,"GyroX":0.54878048,"GyroY":0.731707328,"GyroZ":0.85365856}
{"Time":14746,"AccX":0.51757812,"AccY":0.999023424,"AccZ":0.71289064,"GyroX":0.54878048,"GyroY":0.487804896,"GyroZ":0.85365856}
{"Time":14897,"AccX":0.5419922,"AccY":1.1464843,"AccZ":0.59082032,"GyroX":0.731707328,"GyroY":0.365853664,"GyroZ":0.792682944}
{"Time":15046,"AccX":0.48339844,"AccY":1.8300781,"AccZ":0.7958984,"GyroX":0.670731712,"GyroY":0.670731712,"GyroZ":0.975609792}
{"Time":15197,"AccX":0.52246092,"AccY":1.9277344,"AccZ":0.64453124,"GyroX":0.487804896,"GyroY":0.670731712,"GyroZ":0.731707328}
{"Time":15347,"AccX":0.47851564,"AccY":1.3417968,"AccZ":0.63964844,"GyroX":0.609756096,"GyroY":0.670731712,"GyroZ":0.85365856}
{"Time":15497,"AccX":0.45898436,"AccY":1.6347656,"AccZ":0.58105468,"GyroX":0.609756096,"GyroY":0.731707328,"GyroZ":0.792682944}
{"Time":15648,"AccX":0.42968752,"AccY":1.5371094,"AccZ":0.59570312,"GyroX":0.670731712,"GyroY":0.85365856,"GyroZ":0.85365856}
{"Time":15797,"AccX":0.53710936,"AccY":1.9277344,"AccZ":0.71777344,"GyroX":0.792682944,"GyroY":0.731707328,"GyroZ":0.914634176}
{"Time":15947,"AccX":0.57128908,"AccY":1.9277344,"AccZ":0.69824216,"GyroX":0.487804896,"GyroY":0.487804896,"GyroZ":0.85365856}
{"Time":16098,"AccX":0.49316408,"AccY":1.9277344,"AccZ":0.66894532,"GyroX":0.670731712,"GyroY":0.731707328,"GyroZ":0.914634176}
{"Time":16248,"AccX":0.55664064,"AccY":1.78125,"AccZ":0.63476564,"GyroX":0.365853664,"GyroY":0.670731712,"GyroZ":-1.36585332}
{"Time":16397,"AccX":0.58593752,"AccY":1.9765625,"AccZ":0.57617188,"GyroX":0.792682944,"GyroY":0.487804896,"GyroZ":0.85365856}
{"Time":16547,"AccX":0.67871096,"AccY":1.7324219,"AccZ":0.70800784,"GyroX":0.85365856,"GyroY":0.670731712,"GyroZ":0.85365856}
{"Time":16696,"AccX":0.37597656,"AccY":1.8789062,"AccZ":0.59570312,"GyroX":0.54878048,"GyroY":0.731707328,"GyroZ":0.731707328}
{"Time":16845,"AccX":0.56152344,"AccY":1.15136719,"AccZ":0.64453124,"GyroX":0.54878048,"GyroY":0.670731712,"GyroZ":-1.36585332}
{"Time":16997,"AccX":0.43945312,"AccY":1.5859375,"AccZ":0.67871096,"GyroX":0.670731712,"GyroY":0.731707328,"GyroZ":0.85365856}
{"Time":17146,"AccX":0.41503908,"AccY":0.998046848,"AccZ":0.73242184,"GyroX":0.54878048,"GyroY":0.85365856,"GyroZ":0.914634176}
{$U««‰:17297,"AccX":0.45898436,"AccY":1.390625,"AccZ":0.60546876,"GyroX":0.731707328,"GyroY":0.792682944,"GyroZ":0.85365856}
{"Time":17446,"AccX":0.55664064,"AccY":1.10742188,"AccZ":0.66406248,"GyroX":0.54878048,"GyroY":0.54878048,"GyroZ":0.975609792}
{"Time":17596,"AccX":0.48828124,"AccY":0.999511744,"AccZ":0.6201172,"GyroX":0.670731712,"GyroY":0.731707328,"GyroZ":0.85365856}
{"Time":17746,"AccX":0.5517578,"AccY":1.4394531,"AccZ":0.63964844,"GyroX":0.42682928,"GyroY":0.670731712,"GyroZ":0.731707328}
{"Time":17896,"AccX":0.43457032,"AccY":1.6347656,"AccZ":0.71289064,"GyroX":0.609756096,"GyroY":0.670731712,"GyroZ":0.85365856}
{"Time":18045,"AccX":0.51757812,"AccY":1.1464843,"AccZ":0.63964844,"GyroX":0.792682944,"GyroY":0.609756096,"GyroZ":0.975609792}
{"Time":18196,"AccX":0.60058592,"AccY":1.6835937,"AccZ":0.65429688,"GyroX":0.670731712,"GyroY":0.609756096,"GyroZ":0.914634176}
"Time":18348,"AccX":0.6201172,"AccY":1.5859375,"AccZ":0.61035156,"GyroX":0.54878048,"GyroY":0.487804896,"GyroZ":0.792682944}
{"Time":18496,"AccX":0.37597656,"AccY":0.999023424,"AccZ":0.63476564,"GyroX":0.914634176,"GyroY":0.54878048,"GyroZ":0.792682944}
{"Time":18648,"AccX":0.53710936,"AccY":1.4882812,"AccZ":0.63476564,"GyroX":0.54878048,"GyroY":0.670731712,"GyroZ":0.792682944}
{"Time":18798,"AccX":0.58105468,"AccY":1.11230469,"AccZ":0.69335936,"GyroX":0.670731712,"GyroY":0.731707328,"GyroZ":0.792682944}
{"Time":18950,"AccX":0.51757812,"AccY":1.2929687,"AccZ":0.625,"GyroX":0.792682944,"GyroY":0.365853664,"GyroZ":0.85365856}
{"Time":19094,"AccX":0.42480468,"AccY":1.2929687,"AccZ":0.74218752,"GyroX":0.609756096,"GyroY":0.54878048,"GyroZ":0.85365856}
{"Time":19244,"AccX":0.5419922,"AccY":1.6347656,"AccZ":0.64453124,"GyroX":0.670731712,"GyroY":0.85365856,"GyroZ":0.914634176}
{"Time":19392,"AccX":0.58105468,"AccY":0.999511744,"AccZ":0.57128908,"GyroX":0.85365856,"GyroY":0.365853664,"GyroZ":0.670731712}
{"Time":19544,"AccX":0.40039064,"AccY":0.998046848,"AccZ":0.73242184,"GyroX":0.54878048,"GyroY":0.670731712,"GyroZ":0.85365856}
{"Time":19695,"AccX":0.50781248,"AccY":1.7324219,"AccZ":0.5517578,"GyroX":0.54878048,"GyroY":0.54878048,"GyroZ":0.792682944}
{"Time":19843,"AccX":0.4736328,"AccY":1.1464843,"AccZ":0.65917968,"GyroX":0.609756096,"GyroY":0.670731712,"GyroZ":0.731707328}
{"Time":19992,"AccX":0.41992188,"AccY":0.999023424,"AccZ":0.61523436,"GyroX":0.54878048,"GyroY":0.731707328,"GyroZ":0.85365856}
{"Time":20144,"AccX":0.53222656,"AccY":1.4882812,"AccZ":0.64453124,"GyroX":0.670731712,"GyroY":0.609756096,"GyroZ":0.975609792}
{"Time":20294,"AccX":0.53222656,"AccY":1.6347656,"AccZ":0.73242184,"GyroX":0.54878048,"GyroY":0.609756096,"GyroZ":0.85365856}
{"Time":20444,"AccX":0.55664064,"AccY":1.4882812,"AccZ":0.59570312,"GyroX":0.609756096,"GyroY":0.609756096,"GyroZ":0.731707328}
{"Time":20594,"AccX":0.43945312,"AccY":1.976562,"AccZ":0.69824216,"GyroX":0.670731712,"GyroY":0.914634176,"GyroZ":0.85365856}
{"Time":20743,"AccX":0.59082032,"AccY":1.6835937,"AccZ":0.6201172,"GyroX":0.487804896,"GyroY":0.54878048,"GyroZ":0.85365856}
{"Time":20890,"AccX":0.44921876,"AccY":1.4394531,"AccZ":0.68359376,"GyroX":0.670731712,"GyroY":0.731707328,"GyroZ":0.85365856}
{"Time":21041,"AccX":0.36132812,"AccY":1.4394531,"AccZ":0.69824216,"GyroX":0.243902448,"GyroY":0.609756096,"GyroZ":0.975609792}
{"Time":21191,"AccX":0.55664064,"AccY":1.390625,"AccZ":0.59570312,"GyroX":0.609756096,"GyroY":0.609756096,"GyroZ":0.975609792}
{"Time":21341,"AccX":0.546875,"AccY":1.9765625,"AccZ":0.625,"GyroX":0.792682944,"GyroY":0.487804896,"GyroZ":0.914634176}
{"Time":21485,"AccX":0.58593752,"AccY":1.8789062,"AccZ":0.63964844,"GyroX":0.670731712,"GyroY":0.609756096,"GyroZ":0.914634176}
{"Time":21636,"AccX":0.63964844,"AccY":1.14160156,"AccZ":0.64453124,"GyroX":0.792682944,"GyroY":0.304878048,"GyroZ":0.914634176}
{"Time":21787,"AccX":0.50781248,"AccY":1.2929687,"AccZ":0.58593752,"GyroX":0.731707328,"GyroY":0.731707328,"GyroZ":0.914634176}
{"Time":21939,"AccX":0.50292968,"AccY":1.9765625,"AccZ":0.63964844,"GyroX":0.609756096,"GyroY":0.85365856,"GyroZ":0.975609792}
{"Time":22088,"AccX":0.55664064,"AccY":1.1464843,"AccZ":0.63964844,"GyroX":0.54878048,"GyroY":0.731707328,"GyroZ":0.792682944}
{"Time":22238,"AccX":0.47851564,"AccY":1.2441406,"AccZ":0.67382816,"GyroX":0.609756096,"GyroY":0.792682944,"GyroZ":0.914634176}
{"Time":22389,"AccX":0.4736328,"AccY":1.6347656,"AccZ":0.75683592,"GyroX":0.609756096,"GyroY":0.85365856,"GyroZ":-1.36585332}
{"Time":22538,"AccX":0.59570312,"AccY":1.8789062,"AccZ":0.70800784,"GyroX":-1.97561,"GyroY":0.54878048,"GyroZ":0.914634176}
{"Time":22684,"AccX":0.40039064,"AccY":0.999511744,"AccZ":0.68359376,"GyroX":0.731707328,"GyroY":0.670731712,"GyroZ":0.85365856}
{"Time":22837,"AccX":0.52246092,"AccY":1.16113281,"AccZ":0.66406248,"GyroX":0.731707328,"GyroY":0.487804896,"GyroZ":0.85365856}
{"Time":22987,"AccX":0.50781248,"AccY":1.2441406,"AccZ":0.76171872,"GyroX":0.54878048,"GyroY":0.487804896,"GyroZ":0.975609792}
{"Time":23137,"AccX":0.70800784,"AccY":1.15625,"AccZ":0.52734376,"GyroX":0.304878048,"GyroY":0.487804896,"GyroZ":0.914634176}
{"Time":23286,"AccX":0.24902344,"AccY":1.4394531,"AccZ":0.64941408,"GyroX":0.365853664,"GyroY":-1.97561,"GyroZ":0.914634176}
{"Time":23434,"AccX":0.41015624,"AccY":0.999511744,"AccZ":0.82519528,"GyroX":0.304878048,"GyroY":0.670731712,"GyroZ":0.975609792}
{"Time":23587,"AccX":0.37109376,"AccY":1.12695312,"AccZ":0.59570312,"GyroX":0.731707328,"GyroY":0.792682944,"GyroZ":0.85365856}
{"Time":23738,"AccX":0.56640624,"AccY":1.390625,"AccZ":0.6201172,"GyroX":0.42682928,"GyroY":0.731707328,"GyroZ":0.85365856}
{"Time":23884,"AccX":0.41015624,"AccY":1.4882812,"AccZ":0.63964844,"GyroX":0.54878048,"GyroY":0.670731712,"GyroZ":0.914634176}
{"Time":24035,"AccX":0.53710936,"AccY":0.993652352,"AccZ":0.69335936,"GyroX":0.670731712,"GyroY":0.365853664,"GyroZ":0.792682944}
{"Time":24187,"AccX":0.75195312,"AccY":0.994628928,"AccZ":0.625,"GyroX":0.975609792,"GyroY":-1.97561,"GyroZ":0.914634176}
{"Time":24332,"AccX":0.48828124,"AccY":0.994140608,"AccZ":0.72753904,"GyroX":0.609756096,"GyroY":0.609756096,"GyroZ":0.731707328}
"Time":24485,"AccX":0.45410156,"AccY":0.999023424,"AccZ":0.71777344,"GyroX":0.54878048,"GyroY":0.54878048,"GyroZ":0.731707328}
{"Time":24636,"AccX":0.52246092,"AccY":1.11230469,"AccZ":0.72265624,"GyroX":0.609756096,"GyroY":0.731707328,"GyroZ":0.85365856}
{"Time":24787,"AccX":0.88867184,"AccY":1.9765625,"AccZ":0.52246092,"GyroX":0.85365856,"GyroY":0.182926832,"GyroZ":0.792682944}
"Time":24937,"AccX":0.65429688,"AccY":1.10253906,"AccZ":0.61523436,"GyroX":0.792682944,"GyroY":0.487804896,"GyroZ":0.975609792}
{"Time":25089,"AccX":0.46875,"AccY":1.5859375,"AccZ":0.67382816,"GyroX":0.914634176,"GyroY":0.670731712,"GyroZ":0.914634176}
{"Time":25237,"AccX":0.44921876,"AccY":1.2441406,"AccZ":0.68847656,"GyroX":0.609756096,"GyroY":0.54878048,"GyroZ":0.85365856}
{"Time":25385,"AccX":0.63476564,"AccY":1.7324219,"AccZ":0.625,"GyroX":0.731707328,"GyroY":0.609756096,"GyroZ":-1.36585332}
{"Time":25531,"AccX":0.546875,"AccY":1.13183594,"AccZ":0.625,"GyroX":0.609756096,"GyroY":0.54878048,"GyroZ":0.975609792}
{"Time":25675,"AccX":0.38085936,"AccY":1.390625,"AccZ":0.625,"GyroX":0.609756096,"GyroY":0.792682944,"GyroZ":0.975609792}
{"Time":25820,"AccX":0.67871096,"AccY":1.2441406,"AccZ":0.70800784,"GyroX":0.670731712,"GyroY":0.54878048,"GyroZ":0.85365856}
